portfolio_id,stock_symbol,stock_name,quantity,stock_sector,purchase_price
PORT-1001,KO,The Coca-Cola Company,140,Consumer Defensive,57.134
PORT-1001,WMT,Walmart Inc.,9,Consumer Defensive,100.759
PORT-1001,MSFT,Microsoft Corporation,68,Technology,326.0093
PORT-1001,PLTR,Palantir Technologies Inc.,6,Technology,139.1355
PORT-1001,GE,General Electric Company,32,Industrials,231.5633
PORT-1001,MA,Mastercard Incorporated,48,Financial Services,366.3296
PORT-1001,QQQ,Invesco QQQ Trust,132,Index Funds / ETFs,649.2105
PORT-1001,MSFT,Microsoft Corporation,47,Technology,433.3035
PORT-1001,PG,The Procter & Gamble Company,12,Consumer Defensive,112.0924
PORT-1001,ABBV,AbbVie Inc.,7,Healthcare,168.012
PORT-1001,INTC,Intel Corporation,1,Technology,87.6744
PORT-1001,GOOG,Alphabet Inc.,104,Technology,342.4987
PORT-1001,VOO,Vanguard S&P 500 ETF,53,Index Funds / ETFs,593.3656
PORT-1001,WMT,Walmart Inc.,105,Consumer Defensive,125.6524
PORT-1001,BA,The Boeing Company,80,Industrials,183.926
PORT-1001,PLTR,Palantir Technologies Inc.,49,Technology,95.4072
PORT-1001,BA,The Boeing Company,103,Industrials,188.412
PORT-1001,VOO,Vanguard S&P 500 ETF,137,Index Funds / ETFs,531.2692
PORT-1001,NVDA,NVIDIA Corporation,85,Technology,155.198
PORT-1001,PLTR,Palantir Technologies Inc.,52,Technology,96.7323
PORT-1001,BA,The Boeing Company,146,Industrials,240.001
PORT-1001,MSFT,Microsoft Corporation,78,Technology,338.3894
PORT-1001,BA,The Boeing Company,112,Industrials,188.412
PORT-1001,TSLA,"Tesla, Inc.",12,Consumer Cyclical,440.36
PORT-1001,PYPL,"PayPal Holdings, Inc.",88,Financial Services,35.4456
PORT-1001,GOOG,Alphabet Inc.,52,Technology,323.2572
PORT-1001,JPM,JPMorgan Chase & Co.,144,Financial Services,323.2224
PORT-1001,GOOG,Alphabet Inc.,58,Technology,273.2293
PORT-1001,ABBV,AbbVie Inc.,92,Healthcare,189.552
PORT-1001,GOOG,Alphabet Inc.,36,Technology,380.9817
PORT-1001,PLTR,Palantir Technologies Inc.,74,Technology,95.4072
PORT-1001,TSLA,"Tesla, Inc.",115,Consumer Cyclical,418.342
PORT-1001,PYPL,"PayPal Holdings, Inc.",20,Financial Services,40.6968
PORT-1001,PG,The Procter & Gamble Company,41,Consumer Defensive,140.1155
PORT-1001,MSFT,Microsoft Corporation,61,Technology,412.67
PORT-1001,GOOG,Alphabet Inc.,36,Technology,280.9259
PORT-1001,TSLA,"Tesla, Inc.",71,Consumer Cyclical,321.4628
PORT-1001,PYPL,"PayPal Holdings, Inc.",102,Financial Services,38.9464
PORT-1001,QQQ,Invesco QQQ Trust,128,Index Funds / ETFs,714.861
PORT-1001,CVS,CVS Health Corporation,69,Healthcare,77.3388
PORT-1001,PLTR,Palantir Technologies Inc.,67,Technology,123.2343
PORT-1001,JPM,JPMorgan Chase & Co.,23,Financial Services,287.3088
PORT-1001,SOFI,"SoFi Technologies, Inc.",44,Financial Services,16.17
PORT-1001,PYPL,"PayPal Holdings, Inc.",29,Financial Services,35.4456
PORT-1001,NVDA,NVIDIA Corporation,63,Technology,155.198
PORT-1001,MA,Mastercard Incorporated,33,Financial Services,400.9824
PORT-1001,KO,The Coca-Cola Company,17,Consumer Defensive,58.7664
PORT-1001,GE,General Electric Company,128,Industrials,244.2517
PORT-1001,GOOG,Alphabet Inc.,81,Technology,350.1953
PORT-1001,AAPL,Apple Inc.,29,Technology,223.812
PORT-1001,JPM,JPMorgan Chase & Co.,90,Financial Services,245.4096
PORT-1001,VOO,Vanguard S&P 500 ETF,141,Index Funds / ETFs,517.47
PORT-1001,WMT,Walmart Inc.,99,Consumer Defensive,84.1634
PORT-1001,NVDA,NVIDIA Corporation,31,Technology,153.072
PORT-1001,MSFT,Microsoft Corporation,32,Technology,437.4302
PORT-1001,KO,The Coca-Cola Company,18,Consumer Defensive,58.7664
PORT-1001,PG,The Procter & Gamble Company,83,Consumer Defensive,141.5904
PORT-1001,JPM,JPMorgan Chase & Co.,137,Financial Services,329.208
PORT-1001,WMT,Walmart Inc.,50,Consumer Defensive,120.9108
PORT-1001,KO,The Coca-Cola Company,96,Consumer Defensive,73.458
PORT-1001,CVS,CVS Health Corporation,67,Healthcare,70.8939
PORT-1001,QQQ,Invesco QQQ Trust,107,Index Funds / ETFs,663.7995
PORT-1001,PG,The Procter & Gamble Company,121,Consumer Defensive,128.3163
PORT-1001,JPM,JPMorgan Chase & Co.,8,Financial Services,209.496
PORT-1001,SOFI,"SoFi Technologies, Inc.",96,Financial Services,11.6424
PORT-1001,WMT,Walmart Inc.,27,Consumer Defensive,93.6466
PORT-1001,UNH,UnitedHealth Group Incorporated,5,Healthcare,345.609
PORT-1001,AAPL,Apple Inc.,22,Technology,282.8735
PORT-1001,BA,The Boeing Company,63,Industrials,163.739
PORT-1001,PYPL,"PayPal Holdings, Inc.",112,Financial Services,33.6952
PORT-1001,VOO,Vanguard S&P 500 ETF,81,Index Funds / ETFs,607.1648
PORT-1001,ABBV,AbbVie Inc.,121,Healthcare,196.014
PORT-1001,GOOG,Alphabet Inc.,4,Technology,342.4987
PORT-1001,INTC,Intel Corporation,53,Technology,126.6408
PORT-1001,WMT,Walmart Inc.,129,Consumer Defensive,87.7196
PORT-1001,GOOG,Alphabet Inc.,145,Technology,354.0436
PORT-1001,UNH,UnitedHealth Group Incorporated,103,Healthcare,288.0075
PORT-1001,AAPL,Apple Inc.,109,Technology,217.595
PORT-1001,KO,The Coca-Cola Company,134,Consumer Defensive,75.0904
PORT-1001,TSLA,"Tesla, Inc.",100,Consumer Cyclical,317.0592
PORT-1001,PG,The Procter & Gamble Company,133,Consumer Defensive,115.0422
PORT-1001,GE,General Electric Company,84,Industrials,298.1774
PORT-1001,WMT,Walmart Inc.,138,Consumer Defensive,119.7254
PORT-1001,JPM,JPMorgan Chase & Co.,145,Financial Services,311.2512
PORT-1001,WMT,Walmart Inc.,60,Consumer Defensive,113.7984
PORT-1001,AMZN,"Amazon.com, Inc.",52,Consumer Cyclical,231.0725
PORT-1001,QQQ,Invesco QQQ Trust,112,Index Funds / ETFs,568.971
PORT-1001,AMZN,"Amazon.com, Inc.",125,Consumer Cyclical,212.043
PORT-1001,GE,General Electric Company,125,Industrials,234.7354
PORT-1001,VOO,Vanguard S&P 500 ETF,133,Index Funds / ETFs,689.96
PORT-1001,BA,The Boeing Company,130,Industrials,161.496
PORT-1001,GE,General Electric Company,52,Industrials,285.489
PORT-1001,INTC,Intel Corporation,53,Technology,108.3753
PORT-1001,PYPL,"PayPal Holdings, Inc.",35,Financial Services,41.572
PORT-1001,WMT,Walmart Inc.,38,Consumer Defensive,105.5006
PORT-1001,KO,The Coca-Cola Company,52,Consumer Defensive,86.5172
PORT-1001,JPM,JPMorgan Chase & Co.,91,Financial Services,218.4744
PORT-1001,AMZN,"Amazon.com, Inc.",122,Consumer Cyclical,212.043
PORT-1001,SOFI,"SoFi Technologies, Inc.",129,Financial Services,15.0381
PORT-1001,XOM,Exxon Mobil Corporation,143,Energy,109.446
PORT-1001,MA,Mastercard Incorporated,57,Financial Services,450.4864
PORT-1001,GOOG,Alphabet Inc.,2,Technology,396.3749
PORT-1001,INTC,Intel Corporation,37,Technology,131.5116
PORT-1001,PLTR,Palantir Technologies Inc.,6,Technology,139.1355
PORT-1001,CVS,CVS Health Corporation,3,Healthcare,80.1009
PORT-1001,GOOG,Alphabet Inc.,67,Technology,388.6783
PORT-1001,PLTR,Palantir Technologies Inc.,100,Technology,127.2096
PORT-1001,GE,General Electric Company,37,Industrials,317.21
PORT-1001,UNH,UnitedHealth Group Incorporated,46,Healthcare,330.2486
PORT-1001,MA,Mastercard Incorporated,30,Financial Services,514.8416
PORT-1001,XOM,Exxon Mobil Corporation,45,Energy,125.715
PORT-1001,INTC,Intel Corporation,67,Technology,101.0691
PORT-1001,MA,Mastercard Incorporated,47,Financial Services,440.5856
PORT-1001,NVDA,NVIDIA Corporation,73,Technology,167.954
PORT-1001,AAPL,Apple Inc.,147,Technology,270.4395
PORT-1001,MA,Mastercard Incorporated,123,Financial Services,430.6848
PORT-1001,PG,The Procter & Gamble Company,43,Consumer Defensive,115.0422
PORT-1001,PG,The Procter & Gamble Company,85,Consumer Defensive,156.3394
PORT-1001,ABBV,AbbVie Inc.,73,Healthcare,172.32
PORT-1001,PG,The Procter & Gamble Company,58,Consumer Defensive,107.6677
PORT-1001,XOM,Exxon Mobil Corporation,55,Energy,155.295
PORT-1001,KO,The Coca-Cola Company,148,Consumer Defensive,71.8256
PORT-1001,ABBV,AbbVie Inc.,27,Healthcare,198.168
PORT-1001,INTC,Intel Corporation,43,Technology,104.7222
PORT-1002,VOO,Vanguard S&P 500 ETF,113,Index Funds / ETFs,524.3696
