portfolio_id,stock_symbol,stock_name,quantity,stock_sector,purchase_price,current_price,YTD_Perf,3YR_Perf,5YR_Perf,total_cost,current_value,percent_of_portfolio
PORT-1001,KO,The Coca-Cola Company,140,Consumer Defensive,57.134,80.41,17.13,47.39,68.83,7998.76,11257.4,0.44
PORT-1001,WMT,Walmart Inc.,9,Consumer Defensive,100.759,118.9,5.86,150.93,168.39,906.831,1070.1000000000001,0.04
PORT-1001,MSFT,Microsoft Corporation,68,Technology,326.0093,426.99,-9.31,33.1,79.84,22168.6324,29035.32,1.13
PORT-1001,PLTR,Palantir Technologies Inc.,6,Technology,139.1355,143.34,-14.61,874.44,521.6,834.8130000000001,860.04,0.03
PORT-1001,GE,General Electric Company,32,Industrials,231.5633,320.82,0.17,302.24,365.69,7410.0256,10266.24,0.4
PORT-1001,MA,Mastercard Incorporated,48,Financial Services,366.3296,493.75,-12.04,37.67,41.28,17583.8208,23700.0,0.92
PORT-1001,QQQ,Invesco QQQ Trust,132,Index Funds / ETFs,649.2105,735.6,20.13,115.13,127.76,85695.78600000001,97099.2,3.76
PORT-1001,MSFT,Microsoft Corporation,47,Technology,433.3035,426.99,-9.31,33.1,79.84,20365.264499999997,20068.53,0.78
PORT-1001,PG,The Procter & Gamble Company,12,Consumer Defensive,112.0924,145.91,4.42,10.68,24.71,1345.1088,1750.92,0.07
PORT-1001,ABBV,AbbVie Inc.,7,Healthcare,168.012,218.63,-3.09,76.46,135.02,1176.084,1530.4099999999999,0.06
PORT-1001,INTC,Intel Corporation,1,Technology,87.6744,120.89,206.98,292.35,132.21,87.6744,120.89,0.0
PORT-1001,GOOG,Alphabet Inc.,104,Technology,342.4987,386.12,22.54,215.55,220.43,35619.864799999996,40156.48,1.56
PORT-1001,VOO,Vanguard S&P 500 ETF,53,Index Funds / ETFs,593.3656,693.91,10.79,88.19,93.15,31448.3768,36777.229999999996,1.43
PORT-1001,WMT,Walmart Inc.,105,Consumer Defensive,125.6524,118.9,5.86,150.93,168.39,13193.502,12484.5,0.48
PORT-1001,BA,The Boeing Company,80,Industrials,183.926,228.78,0.44,11.22,-10.19,14714.079999999998,18302.4,0.71
PORT-1001,PLTR,Palantir Technologies Inc.,49,Technology,95.4072,143.34,-14.61,874.44,521.6,4674.9528,7023.66,0.27
PORT-1001,BA,The Boeing Company,103,Industrials,188.412,228.78,0.44,11.22,-10.19,19406.436,23564.34,0.91
PORT-1001,VOO,Vanguard S&P 500 ETF,137,Index Funds / ETFs,531.2692,693.91,10.79,88.19,93.15,72783.8804,95065.67,3.68
PORT-1001,NVDA,NVIDIA Corporation,85,Technology,155.198,214.25,13.46,466.79,1220.61,13191.83,18211.25,0.71
PORT-1001,PLTR,Palantir Technologies Inc.,52,Technology,96.7323,143.34,-14.61,874.44,521.6,5030.0796,7453.68,0.29
PORT-1001,BA,The Boeing Company,146,Industrials,240.001,228.78,0.44,11.22,-10.19,35040.146,33401.88,1.29
PORT-1001,MSFT,Microsoft Corporation,78,Technology,338.3894,426.99,-9.31,33.1,79.84,26394.3732,33305.22,1.29
PORT-1001,BA,The Boeing Company,112,Industrials,188.412,228.78,0.44,11.22,-10.19,21102.144,25623.36,0.99
PORT-1001,TSLA,"Tesla, Inc.",12,Consumer Cyclical,440.36,442.1,0.92,116.79,112.58,5284.32,5305.200000000001,0.21
PORT-1001,PYPL,"PayPal Holdings, Inc.",88,Financial Services,35.4456,44.46,-23.3,-27.9,-82.76,3119.2128,3912.48,0.15
PORT-1001,GOOG,Alphabet Inc.,52,Technology,323.2572,386.12,22.54,215.55,220.43,16809.3744,20078.24,0.78
PORT-1001,JPM,JPMorgan Chase & Co.,144,Financial Services,323.2224,296.73,-7.95,134.12,102.77,46544.0256,42729.12,1.66
PORT-1001,GOOG,Alphabet Inc.,58,Technology,273.2293,386.12,22.54,215.55,220.43,15847.299400000002,22394.96,0.87
PORT-1001,ABBV,AbbVie Inc.,92,Healthcare,189.552,218.63,-3.09,76.46,135.02,17438.784,20113.96,0.78
PORT-1001,GOOG,Alphabet Inc.,36,Technology,380.9817,386.12,22.54,215.55,220.43,13715.341199999999,13900.32,0.54
PORT-1001,PLTR,Palantir Technologies Inc.,74,Technology,95.4072,143.34,-14.61,874.44,521.6,7060.1328,10607.16,0.41
PORT-1001,TSLA,"Tesla, Inc.",115,Consumer Cyclical,418.342,442.1,0.92,116.79,112.58,48109.33,50841.5,1.97
PORT-1001,PYPL,"PayPal Holdings, Inc.",20,Financial Services,40.6968,44.46,-23.3,-27.9,-82.76,813.936,889.2,0.03
PORT-1001,PG,The Procter & Gamble Company,41,Consumer Defensive,140.1155,145.91,4.42,10.68,24.71,5744.7355,5982.3099999999995,0.23
PORT-1001,MSFT,Microsoft Corporation,61,Technology,412.67,426.99,-9.31,33.1,79.84,25172.870000000003,26046.39,1.01
PORT-1001,GOOG,Alphabet Inc.,36,Technology,280.9259,386.12,22.54,215.55,220.43,10113.332400000001,13900.32,0.54
PORT-1001,TSLA,"Tesla, Inc.",71,Consumer Cyclical,321.4628,442.1,0.92,116.79,112.58,22823.8588,31389.100000000002,1.22
PORT-1001,PYPL,"PayPal Holdings, Inc.",102,Financial Services,38.9464,44.46,-23.3,-27.9,-82.76,3972.5327999999995,4534.92,0.18
PORT-1001,QQQ,Invesco QQQ Trust,128,Index Funds / ETFs,714.861,735.6,20.13,115.13,127.76,91502.208,94156.8,3.65
PORT-1001,CVS,CVS Health Corporation,69,Healthcare,77.3388,92.97,18.01,53.55,27.78,5336.377200000001,6414.93,0.25
PORT-1001,PLTR,Palantir Technologies Inc.,67,Technology,123.2343,143.34,-14.61,874.44,521.6,8256.6981,9603.78,0.37
PORT-1001,JPM,JPMorgan Chase & Co.,23,Financial Services,287.3088,296.73,-7.95,134.12,102.77,6608.102400000001,6824.790000000001,0.26
PORT-1001,SOFI,"SoFi Technologies, Inc.",44,Financial Services,16.17,16.97,-38.2,144.52,-25.08,711.48,746.68,0.03
PORT-1001,PYPL,"PayPal Holdings, Inc.",29,Financial Services,35.4456,44.46,-23.3,-27.9,-82.76,1027.9224,1289.34,0.05
PORT-1001,NVDA,NVIDIA Corporation,63,Technology,155.198,214.25,13.46,466.79,1220.61,9777.474,13497.75,0.52
PORT-1001,MA,Mastercard Incorporated,33,Financial Services,400.9824,493.75,-12.04,37.67,41.28,13232.4192,16293.75,0.63
PORT-1001,KO,The Coca-Cola Company,17,Consumer Defensive,58.7664,80.41,17.13,47.39,68.83,999.0287999999999,1366.97,0.05
PORT-1001,GE,General Electric Company,128,Industrials,244.2517,320.82,0.17,302.24,365.69,31264.2176,41064.96,1.59
PORT-1001,GOOG,Alphabet Inc.,81,Technology,350.1953,386.12,22.54,215.55,220.43,28365.8193,31275.72,1.21
PORT-1001,AAPL,Apple Inc.,29,Technology,223.812,312.51,15.53,78.78,157.97,6490.548000000001,9062.789999999999,0.35
PORT-1001,JPM,JPMorgan Chase & Co.,90,Financial Services,245.4096,296.73,-7.95,134.12,102.77,22086.864,26705.7,1.03
PORT-1001,VOO,Vanguard S&P 500 ETF,141,Index Funds / ETFs,517.47,693.91,10.79,88.19,93.15,72963.27,97841.31,3.79
PORT-1001,WMT,Walmart Inc.,99,Consumer Defensive,84.1634,118.9,5.86,150.93,168.39,8332.176599999999,11771.1,0.46
PORT-1001,NVDA,NVIDIA Corporation,31,Technology,153.072,214.25,13.46,466.79,1220.61,4745.232,6641.75,0.26
PORT-1001,MSFT,Microsoft Corporation,32,Technology,437.4302,426.99,-9.31,33.1,79.84,13997.7664,13663.68,0.53
PORT-1001,KO,The Coca-Cola Company,18,Consumer Defensive,58.7664,80.41,17.13,47.39,68.83,1057.7952,1447.3799999999999,0.06
PORT-1001,PG,The Procter & Gamble Company,83,Consumer Defensive,141.5904,145.91,4.42,10.68,24.71,11752.0032,12110.529999999999,0.47
PORT-1001,JPM,JPMorgan Chase & Co.,137,Financial Services,329.208,296.73,-7.95,134.12,102.77,45101.49600000001,40652.01,1.58
PORT-1001,WMT,Walmart Inc.,50,Consumer Defensive,120.9108,118.9,5.86,150.93,168.39,6045.54,5945.0,0.23
PORT-1001,KO,The Coca-Cola Company,96,Consumer Defensive,73.458,80.41,17.13,47.39,68.83,7051.968,7719.36,0.3
PORT-1001,CVS,CVS Health Corporation,67,Healthcare,70.8939,92.97,18.01,53.55,27.78,4749.8913,6228.99,0.24
